Epoch,Loss,BLEU-1
1,2.1520678997039795,0.33124716400217497
2,2.011730670928955,0.45
3,1.9783906936645508,0.3787878787878788
4,1.9354429244995117,0.39592959209501377
5,1.874171495437622,0.3593302034982594
6,1.8753019571304321,0.36250000000000004
7,1.7784827947616577,0.42105263157894735
8,1.7331836223602295,0.3870967741935484
9,1.6451066732406616,0.3478260869565218
10,1.585301399230957,0.4307692307692308
11,1.4420288801193237,0.4426229508196721
12,1.379878044128418,0.38095238095238093
13,1.328770399093628,0.390625
14,1.3623815774917603,0.3181445475113743
15,1.156532645225525,0.38461538461538464
